line,hyp.length,plate,chamber,light
BBB1,1.036,3,W,sun
BBB1,1.151,3,W,sun
BBB1,1.227,3,W,sun
BBB1,1.546,3,W,sun
BBB1,1.462,3,W,sun
BBB1,1.44,3,W,sun
BBB1,1.494,3,W,sun
BBB1,1.943,3,W,sun
BBB1,1.972,3,W,sun
BBB1,1.315,3,W,sun
BBB3,1.384,5,W,sun
BBB3,0.991,5,W,sun
BBB3,1.193,5,W,sun
BBB3,1.099,5,W,sun
BBB3,1.745,5,W,sun
BBB3,1.147,5,W,sun
BBB3,1.188,5,W,sun
BBB3,0.971,5,W,sun
BBB3,1.164,5,W,sun
BBB3,0.812,5,W,sun
BBB3,1.458,5,W,sun
BBB3,1.208,5,W,sun
BBB3,1.765,5,W,sun
BBB3,1.538,5,W,sun
BBB3,1.454,5,W,sun
BBB3,1.221,5,W,sun
BBB3,1.695,5,W,sun
BBB3,1.655,5,W,sun
BBB3,1.137,5,W,sun
BBB3,1.186,5,W,sun
BBS2,1.455,13,W,sun
BBS2,1.296,13,W,sun
BBS2,1.554,13,W,sun
BBS2,1.268,13,W,sun
BBS2,1.759,13,W,sun
BBS2,1.742,13,W,sun
BBS2,1.327,13,W,sun
BBS2,1.092,13,W,sun
BBS2,1.231,13,W,sun
BBS2,1.491,13,W,sun
BBS2,1.161,13,W,sun
BBS2,1.041,13,W,sun
BBS2,1.213,13,W,sun
BBS2,1.548,13,W,sun
BBS2,1.873,13,W,sun
BBS2,1.039,13,W,sun
BBS2,1.702,13,W,sun
BSB2,1.412,22,W,shade
BSB2,2.164,22,W,shade
BSB2,1.239,22,W,shade
BSB2,1.011,22,W,shade
BSB2,1.396,22,W,shade
BSB2,1.337,22,W,shade
SSS3,1.449,23,W,shade
SSS3,0.707,23,W,shade
SSS3,1.26,23,W,shade
SSS3,1.635,23,W,shade
SSS3,1.036,23,W,shade
SSS3,1.917,23,W,shade
SSS3,1.314,23,W,shade
SSS3,1.002,23,W,shade
SSS3,3.314,23,W,shade
SSS3,1.332,23,W,shade
SSS3,1.735,23,W,shade
SSS3,2.966,23,W,shade
SSS3,1.285,23,W,shade
SSS3,3.44,23,W,shade
SSS3,0.974,23,W,shade
SSS3,1.514,23,W,shade
SSS3,0.955,23,W,shade
SSS3,1.366,23,W,shade
SSS3,0.916,23,W,shade
SSS3,1.516,23,W,shade
SSS3,1.701,23,W,shade
SSS3,2.342,23,W,shade
BBS3,1.409,25,W,shade
BBS3,2.585,25,W,shade
BBS3,1.442,25,W,shade
BBS3,2.284,25,W,shade
BBS3,1.317,25,W,shade
BBS3,2.816,25,W,shade
BBS3,2.022,25,W,shade
BBB2,1.37,20,W,shade
BBB2,1.015,20,W,shade
BBB2,1.801,20,W,shade
BBB2,1.055,20,W,shade
BBB2,2.699,20,W,shade
BBB2,2.724,20,W,shade
BBB2,0.971,20,W,shade
BBB2,1.244,20,W,shade
BBB2,1.635,20,W,shade
BBB2,2.747,20,W,shade
BBB3,0.944,1,W,sun
BBB3,1.628,1,W,sun
BBB3,0.937,1,W,sun
BBB3,1.181,1,W,sun
BBB3,1.61,1,W,sun
BBB3,1.295,1,W,sun
BBB3,1.163,1,W,sun
BBB3,0.961,1,W,sun
BBB3,1.579,1,W,sun
BBB3,1.772,1,W,sun
BBB3,1.351,1,W,sun
BBB3,1.042,1,W,sun
